DE,EN
Hurrikan,Hurricane
Blaskapelle,Brass Band
Kolonie,Colony
Faschingsdienstag,Mardi Gras
Sumpf,Swamp
Alligator,Alligator
Palme,Palm Tree
Grad,Degree
Celsius,Celsius
Fahrenheit,Fahrenheit
Gefrieren,Freeze
Verrückt,Crazy
Kinda,Kinda
Gerade,Straight
Eintopf,Stew
Wurst,Sausage
Garnelen,Shrimp
Ekelhaft,Disgusting
Dollar,Buck
Hähnchen,Chicken
Erntedankfest,Thanksgiving
Mahlzeit,Meal
Zutat,Ingredient
Kraut,Herb
Gewürz,Spice
Kombinieren,Combine
Tradition,Tradition
Ureinwohner Amerikas,Native American
Siedler,Settler
Sowohl...als auch...,Both..and..
Ereignis,Occasion
Milchprodukte,Dairy products
Rindfleisch,Beef
Schweinefleisch,Pork
Dose,Tinned
Pulver,Powder
Kochen,Boil
Braten,Fry
Rösten,Roast
Pfanne,Frying pan
Kochtopf,Saucepan
Ofen,Oven
Sauer,Sour
Bitter,Bitter
Heiß,Hot
Würzig,Spicy
Typisch für,Typical of
Synonym,Synonym
Warum nicht mal probieren,Why not try
Empfehlen,Recommend
Lust haben,Fancy
Speisekarte,Menu
Allergisch,Allergic
Hellgrün,Light green
Kellner,Waiter
Kellnerin,Waitress
Relevant,Relevant
Umschreiben,Paraphrase
Stimmen,Tune
Spannen,Tighten
Saite,String
Wandschrank,Closet
Ich hätte auch geschrien,I would have screamed too
Gehören,To belong
Urgroßvater,Great-grandfather
Veranda,Porch
Honig,Honey
Er hat es selbst getötet,He killed it himself
Schmuck,Jewellery
Stil,Style
Haufen,Pile
Hochzeit,Wedding
Segregation,Segregation
Bürgerrechte,Civil rights
Diner,Diner
Im Zentrum von New Orleans,In Downtown New Orleans
Theke,Counter
